LitterType,species,a,w,e,n,
branch,PiAb,0.7,0.005,0.005,0.28,
branch,AbAl,0.7,0.005,0.005,0.28,
branch,LaDe,0.7,0.005,0.005,0.28,
branch,PiSy,0.4763,0.0196,0.087,0.417,#Yasso07Handbook
branch,PiNi,0.4763,0.0196,0.087,0.417,
branch,PiCe,0.4763,0.0196,0.087,0.417,
branch,PiSt,0.4763,0.0196,0.087,0.417,
branch,PsMe,0.4763,0.0196,0.087,0.417,
branch,Coni,0.4763,0.0196,0.087,0.417,
branch,PicX,0.7,0.005,0.005,0.28,
branch,AbiX,0.7,0.005,0.005,0.28,
branch,LarX,0.4763,0.0196,0.087,0.417,
branch,PinX,0.4763,0.0196,0.087,0.417,
branch,PiMu,0.4763,0.0196,0.087,0.417,
branch,TaBa,0.4763,0.0196,0.087,0.417,
branch,FaSy,0.65,0.03,0,0.32,
branch,QueX,0.65,0.03,0,0.32,
branch,CaBe,0.65,0.03,0,0.32,
branch,FraX,0.65,0.03,0,0.32,
branch,AceX,0.65,0.03,0,0.32,
branch,UlmX,0.65,0.03,0,0.32,
branch,CaSa,0.65,0.03,0,0.32,
branch,RoPs,0.65,0.03,0,0.32,
branch,SorX,0.65,0.03,0,0.32,
branch,PruX,0.65,0.03,0,0.32,
branch,PrAv,0.65,0.03,0,0.32,
branch,SoTo,0.65,0.03,0,0.32,
branch,SoAu,0.65,0.03,0,0.32,
branch,BetX,0.65,0.03,0,0.32,
branch,AlGl,0.65,0.03,0,0.32,
branch,AlIn,0.65,0.03,0,0.32,
branch,TilX,0.65,0.03,0,0.32,
branch,PoTr,0.65,0.03,0,0.32,
branch,PoAl,0.65,0.03,0,0.32,
branch,PoNi,0.65,0.03,0,0.32,
branch,PopX,0.65,0.03,0,0.32,
branch,SalX,0.65,0.03,0,0.32,
branch,BroX,0.65,0.03,0,0.32,
branch,BrHX,0.65,0.03,0,0.32,
branch,JuRe,0.65,0.03,0,0.32,
branch,JuNi,0.65,0.03,0,0.32,
branch,OstX,0.65,0.03,0,0.32,
branch,MalX,0.65,0.03,0,0.32,
branch,PyrX,0.65,0.03,0,0.32,
branch,BrSX,0.65,0.03,0,0.32,
branch,BusX,0.65,0.03,0,0.32,
branch,AlVi,0.65,0.03,0,0.32,
#
fineRoot,PiAb,0.5508,0.1331,0.0665,0.2496,#Yasso07Handbook
fineRoot,AbAl,0.3065,0.3196,0.1943,0.1796,
fineRoot,LaDe,0.4283,0.219,0.099,0.2537,
fineRoot,PiSy,0.5791,0.1286,0.0643,0.228,#Yasso07Handbook
fineRoot,PiNi,0.479,0.1633,0.0817,0.276,
fineRoot,PiCe,0.5791,0.1286,0.0643,0.228,
fineRoot,PiSt,0.3968,0.2017,0.1875,0.2059,
fineRoot,PsMe,0.3727,0.2202,0.0854,0.2735,
fineRoot,Coni,0.5508,0.1331,0.0665,0.2496,
fineRoot,PicX,0.5508,0.1331,0.0665,0.2496,
fineRoot,AbiX,0.3065,0.3196,0.1943,0.1796,
fineRoot,LarX,0.4283,0.219,0.099,0.2537,
fineRoot,PinX,0.5791,0.1286,0.0643,0.228,
fineRoot,PiMu,0.5791,0.1286,0.0643,0.228,
fineRoot,TaBa,0.5791,0.1286,0.0643,0.228,
fineRoot,FaSy,0.4847,0.1381,0.0776,0.2996,
fineRoot,QueX,0.3938,0.2722,0.0935,0.2351,
fineRoot,CaBe,0.4847,0.1381,0.0776,0.2996,
fineRoot,FraX,0.4847,0.1381,0.0776,0.2996,
fineRoot,AceX,0.2733,0.4768,0.0818,0.1587,
fineRoot,UlmX,0.4847,0.1381,0.0776,0.2996,
fineRoot,CaSa,0.4847,0.1381,0.0776,0.2996,
fineRoot,RoPs,0.4045,0.3377,0.0719,0.1766,
fineRoot,SorX,0.3938,0.2722,0.0935,0.2351,
fineRoot,PruX,0.3938,0.2722,0.0935,0.2351,
fineRoot,PrAv,0.3938,0.2722,0.0935,0.2351,
fineRoot,SoTo,0.3938,0.2722,0.0935,0.2351,
fineRoot,SoAu,0.3938,0.2722,0.0935,0.2351,
fineRoot,BetX,0.46,0.1929,0.0964,0.2507,
fineRoot,AlGl,0.443,0.1953,0.0976,0.2641,
fineRoot,AlIn,0.443,0.1953,0.0976,0.2641,
fineRoot,TilX,0.4847,0.1381,0.0776,0.2996,
fineRoot,PoTr,0.3656,0.3839,0.0948,0.1557,
fineRoot,PoAl,0.3656,0.3839,0.0948,0.1557,
fineRoot,PoNi,0.3656,0.3839,0.0948,0.1557,
fineRoot,PopX,0.3656,0.3839,0.0948,0.1557,
fineRoot,SalX,0.3656,0.3839,0.0948,0.1557,
fineRoot,BroX,0.4847,0.1381,0.0776,0.2996,
fineRoot,BrHX,0.3938,0.2722,0.0935,0.2351,
fineRoot,JuRe,0.3938,0.2722,0.0935,0.2351,
fineRoot,JuNi,0.3938,0.2722,0.0935,0.2351,
fineRoot,OstX,0.4847,0.1381,0.0776,0.2996,
fineRoot,MalX,0.4847,0.1381,0.0776,0.2996,
fineRoot,PyrX,0.4847,0.1381,0.0776,0.2996,
fineRoot,BrSX,0.4847,0.1381,0.0776,0.2996,
fineRoot,BusX,0.4847,0.1381,0.0776,0.2996,
fineRoot,AlVi,0.443,0.1953,0.0976,0.2641,
#
leaf,PiAb,0.4826,0.1317,0.0658,0.3199,#Yasso07Handbook
leaf,AbAl,0.3065,0.3196,0.1943,0.1796,#Yasso07Handbook
leaf,LaDe,0.4283,0.219,0.099,0.2537,#Yasso07Handbook
leaf,PiSy,0.518,0.1773,0.0887,0.216,#Yasso07Handbook
leaf,PiNi,0.479,0.1633,0.0817,0.276,#Yasso07Handbook
leaf,PiCe,0.479,0.1633,0.0817,0.276,
leaf,PiSt,0.3968,0.2017,0.1875,0.2059,#Yasso07Handbook
leaf,PsMe,0.3727,0.2202,0.0854,0.2735,#Yasso07Handbook
leaf,Coni,0.4826,0.1317,0.0658,0.3199,
leaf,PicX,0.4826,0.1317,0.0658,0.3199,
leaf,AbiX,0.3065,0.3196,0.1943,0.1796,
leaf,LarX,0.4283,0.219,0.099,0.2537,
leaf,PinX,0.518,0.1773,0.0887,0.216,
leaf,PiMu,0.518,0.1773,0.0887,0.216,
leaf,TaBa,0.3065,0.3196,0.1943,0.1796,
leaf,FaSy,0.4847,0.1381,0.0776,0.2996,#Yasso07Handbook
leaf,QueX,0.3938,0.2722,0.0935,0.2351,#Yasso07Handbook
leaf,CaBe,0.4847,0.1381,0.0776,0.2996,
leaf,FraX,0.2733,0.4768,0.0818,0.1587,
leaf,AceX,0.2733,0.4768,0.0818,0.1587,#Yasso07Handbook
leaf,UlmX,0.2733,0.4768,0.0818,0.1587,
leaf,CaSa,0.3938,0.2722,0.0935,0.2351,
leaf,RoPs,0.4045,0.3377,0.0719,0.1766,#Yasso07Handbook
leaf,SorX,0.3938,0.2722,0.0935,0.2351,
leaf,PruX,0.3938,0.2722,0.0935,0.2351,
leaf,PrAv,0.3938,0.2722,0.0935,0.2351,
leaf,SoTo,0.3938,0.2722,0.0935,0.2351,
leaf,SoAu,0.3938,0.2722,0.0935,0.2351,
leaf,BetX,0.46,0.1929,0.0964,0.2507,#Yasso07Handbook
leaf,AlGl,0.443,0.1953,0.0976,0.2641,
leaf,AlIn,0.443,0.1953,0.0976,0.2641,#Yasso07Handbook
leaf,TilX,0.2733,0.4768,0.0818,0.1587,
leaf,PoTr,0.3656,0.3839,0.0948,0.1557,#Yasso07Handbook
leaf,PoAl,0.3656,0.3839,0.0948,0.1557,
leaf,PoNi,0.3656,0.3839,0.0948,0.1557,
leaf,PopX,0.3656,0.3839,0.0948,0.1557,
leaf,SalX,0.3656,0.3839,0.0948,0.1557,
leaf,BroX,0.4847,0.1381,0.0776,0.2996,
leaf,BrHX,0.3938,0.2722,0.0935,0.2351,
leaf,JuRe,0.3938,0.2722,0.0935,0.2351,
leaf,JuNi,0.3938,0.2722,0.0935,0.2351,
leaf,OstX,0.4847,0.1381,0.0776,0.2996,
leaf,MalX,0.4847,0.1381,0.0776,0.2996,
leaf,PyrX,0.4847,0.1381,0.0776,0.2996,
leaf,BrSX,0.4847,0.1381,0.0776,0.2996,
leaf,BusX,0.4847,0.1381,0.0776,0.2996,
leaf,AlVi,0.443,0.1953,0.0976,0.2641,
#
stem,PiAb,0.7,0.005,0.005,0.28,#Yasso07Handbook
stem,AbAl,0.7,0.005,0.005,0.28,
stem,LaDe,0.68,0.015,0.015,0.28,
stem,PiSy,0.68,0.015,0.015,0.28,#Yasso07Handbook
stem,PiNi,0.68,0.015,0.015,0.28,
stem,PiCe,0.68,0.015,0.015,0.28,
stem,PiSt,0.68,0.015,0.015,0.28,
stem,PsMe,0.7,0.005,0.005,0.28,
stem,Coni,0.7,0.005,0.005,0.28,
stem,PicX,0.7,0.005,0.005,0.28,
stem,AbiX,0.7,0.005,0.005,0.28,
stem,LarX,0.68,0.015,0.015,0.28,
stem,PinX,0.68,0.015,0.015,0.28,
stem,PiMu,0.68,0.015,0.015,0.28,
stem,TaBa,0.7,0.005,0.005,0.28,
stem,FaSy,0.65,0.03,0,0.32,
stem,QueX,0.65,0.03,0,0.32,
stem,CaBe,0.65,0.03,0,0.32,
stem,FraX,0.65,0.03,0,0.32,
stem,AceX,0.65,0.03,0,0.32,
stem,UlmX,0.65,0.03,0,0.32,
stem,CaSa,0.65,0.03,0,0.32,
stem,RoPs,0.65,0.03,0,0.32,
stem,SorX,0.65,0.03,0,0.32,
stem,PruX,0.65,0.03,0,0.32,
stem,PrAv,0.65,0.03,0,0.32,
stem,SoTo,0.65,0.03,0,0.32,
stem,SoAu,0.65,0.03,0,0.32,
stem,BetX,0.65,0.03,0,0.32,#Yasso07Handbook
stem,AlGl,0.65,0.03,0,0.32,
stem,AlIn,0.65,0.03,0,0.32,
stem,TilX,0.65,0.03,0,0.32,
stem,PoTr,0.65,0.03,0,0.32,
stem,PoAl,0.65,0.03,0,0.32,
stem,PoNi,0.65,0.03,0,0.32,
stem,PopX,0.65,0.03,0,0.32,
stem,SalX,0.65,0.03,0,0.32,
stem,BroX,0.65,0.03,0,0.32,
stem,BrHX,0.65,0.03,0,0.32,
stem,JuRe,0.65,0.03,0,0.32,
stem,JuNi,0.65,0.03,0,0.32,
stem,OstX,0.65,0.03,0,0.32,
stem,MalX,0.65,0.03,0,0.32,
stem,PyrX,0.65,0.03,0,0.32,
stem,BrSX,0.65,0.03,0,0.32,
stem,BusX,0.65,0.03,0,0.32,
stem,AlVi,0.65,0.03,0,0.32,
